| 法术名
 | PHB24
 | 神莓术Goodberry
 | 一环
 | 咒法
 | 德 软
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 擒抱藤Grasping Vine
 | 四环
 | 咒法
 | 德 软
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 油腻术Grease
 | 一环
 | 咒法
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 高等隐形术Greater Invisibility
 | 四环
 | 幻术
 | 诗 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 高等复原术Greater Restoration
 | 五环
 | 防护
 | 诗 牧 德 帕 软
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 翠炎剑Green-Flame Blade
 | 戏法(零环)
 | 塑能
 | 术 法 械 锁
 | ×
 | S
 | M*
 | ×
 | ×
 | TCE
 | 信仰守卫Guardian of Faith
 | 四环
 | 咒法
 | 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 自然守卫Guardian of Nature
 | 四环
 | 变化
 | 德 软
 | V
 | ×
 | ×
 | ×
 | √
 | XGE
 | 铜墙铁壁Guards and Wards
 | 六环
 | 防护
 | 诗 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 神导术Guidance
 | 戏法(零环)
 | 预言
 | 牧 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 光导箭Guiding Bolt
 | 一环
 | 塑能
 | 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 舞风术Gust
 | 戏法(零环)
 | 变化
 | 德 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 造风术Gust of Wind
 | 二环
 | 塑能
 | 德 软 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 荆棘之雨Hail of Thorns
 | 一环
 | 咒法
 | 软
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 圣居Hallow
 | 五环
 | 防护
 | 牧
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 幻景Hallucinatory Terrain
 | 四环
 | 幻术
 | 诗 德 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 重伤术Harm
 | 六环
 | 死灵
 | 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 加速术Haste
 | 三环
 | 变化
 | 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 医疗术Heal
 | 六环
 | 防护
 | 牧 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 治愈之魂Healing Spirit
 | 二环
 | 咒法
 | 德 软
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 治愈真言Healing Word
 | 一环
 | 防护
 | 诗 牧 德
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 灼热金属Heat Metal
 | 二环
 | 变化
 | 诗 德
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 炼狱叱喝Hellish Rebuke
 | 一环
 | 塑能
 | 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 英雄宴Heroes' Feast
 | 六环
 | 咒法
 | 诗 牧 德
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 英雄气概Heroism
 | 一环
 | 惑控
 | 诗 帕
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 脆弱诅咒Hex
 | 一环
 | 惑控
 | 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 定身怪物Hold Monster
 | 五环
 | 惑控
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 定身类人Hold Person
 | 二环
 | 惑控
 | 诗 牧 德 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 圣洁灵光Holy Aura
 | 八环
 | 防护
 | 牧
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 神圣武器Holy Weapon
 | 五环
 | 塑能
 | 牧 帕
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 哈达之欲Hunger of Hadar
 | 三环
 | 咒法
 | 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 猎人印记Hunter's Mark
 | 一环
 | 预言
 | 软
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 催眠图纹Hypnotic Pattern
 | 三环
 | 幻术
 | 诗 术 法 锁
 | ×
 | S
 | M
 | ×
 | √
 | PHB24
 | 冰刃Ice Knife
 | 一环
 | 咒法
 | 德 术 法
 | ×
 | S
 | M
 | ×
 | ×
 | PHB24
 | 冰风暴Ice Storm
 | 四环
 | 塑能
 | 德 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 鉴定术Identify
 | 一环
 | 预言
 | 诗 法
 | V
 | S
 | M*
 | √
 | ×
 | PHB24
 | 幻影巨龙Illusory Dragon
 | 八环
 | 幻术
 | 法
 | ×
 | S
 | ×
 | ×
 | √
 | XGE
 | 迷幻手稿Illusory Script
 | 一环
 | 幻术
 | 诗 法
 | V
 | S
 | M*
 | √
 | ×
 | PHB24
 | 焚烧术Immolation
 | 五环
 | 塑能
 | 术 法
 | V
 | ×
 | ×
 | ×
 | √
 | XGE
 | 禁锢术Imprisonment
 | 九环
 | 防护
 | 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 焚云术Incendiary Cloud
 | 八环
 | 咒法
 | 德 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 鼓动贪欲Incite Greed
 | 三环
 | 惑控
 | 牧 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | AI
 | 地狱呼唤Infernal Calling
 | 五环
 | 咒法
 | 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | XGE
 | 虫群孳生Infestation
 | 戏法(零环)
 | 咒法
 | 德 术 法 锁
 | V
 | S
 | M
 | ×
 | ×
 | XGE
 | 致伤术Inflict Wounds
 | 一环
 | 死灵
 | 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 疫病虫群Insect Plague
 | 五环
 | 咒法
 | 牧 德 术
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 智能壁垒Intellect Fortress
 | 三环
 | 防护
 | 诗 术 法 械 锁
 | V
 | ×
 | ×
 | ×
 | √
 | TCE
 | 炽焰赋权Investiture of Flame
 | 六环
 | 变化
 | 德 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 寒冰赋权Investiture of Ice
 | 六环
 | 变化
 | 德 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 磐石赋权Investiture of Stone
 | 六环
 | 变化
 | 德 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 清风赋权Investiture of Wind
 | 六环
 | 变化
 | 德 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 隐形术Invisibility
 | 二环
 | 幻术
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 无敌术Invulnerability
 | 九环
 | 防护
 | 法
 | V
 | S
 | M*
 | ×
 | √
 | XGE
 | 贾拉兹光辉风暴Jallarzi's Storm of
					Radiance
 | 五环
 | 塑能
 | 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 吉姆的发光硬币Jim's Glowing Coin
 | 二环
 | 惑控
 | 法
 | ×
 | S
 | M
 | ×
 | ×
 | AI
 | 吉姆的魔法飞弹Jim's Magic Missile
 | 一环
 | 塑能
 | 法
 | V
 | S
 | ×
 | ×
 | ×
 | AI
 | 跳跃术Jump
 | 一环
 | 变化
 | 德 软 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 动力短行Kinetic Jaunt
 | 二环
 | 变化
 | 诗 术 法 械
 | ×
 | S
 | ×
 | ×
 | √
 | SCC
 | 敲击术Knock
 | 二环
 | 变化
 | 诗 术 法
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 通晓传奇Legend Lore
 | 五环
 | 预言
 | 诗 牧 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 李欧蒙秘藏箱Leomund's Secret Chest
 | 四环
 | 咒法
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 李欧蒙小屋Leomund's Tiny Hut
 | 三环
 | 塑能
 | 诗 法
 | V
 | S
 | M
 | √
 | ×
 | PHB24
 | 次等复原术Lesser Restoration
 | 二环
 | 防护
 | 诗 牧 德 帕 软
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 浮空术Levitate
 | 二环
 | 变化
 | 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 生命转换Life Transference
 | 三环
 | 死灵
 | 牧 法
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 光亮术Light
 | 戏法(零环)
 | 塑能
 | 诗 牧 术 法
 | V
 | ×
 | M
 | ×
 | ×
 | PHB24
 | 闪电箭矢Lightning Arrows
 | 三环
 | 变化
 | 软
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 闪电束Lightning Bolt
 | 三环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 闪电牵引Lightning Lure
 | 戏法(零环)
 | 塑能
 | 术 法 械 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | TCE
 | 动植物定位术Locate Animals or Plants
 | 二环
 | 预言
 | 诗 德 软
 | V
 | S
 | M
 | √
 | ×
 | PHB24
 | 生物定位术Locate Creature
 | 四环
 | 预言
 | 诗 牧 德 帕 软 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 物件定位术Locate Object
 | 二环
 | 预言
 | 诗 牧 德 帕 软 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 大步奔行Longstrider
 | 一环
 | 变化
 | 诗 德 软 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 疯狂之暗Maddening Darkness
 | 八环
 | 塑能
 | 法 锁
 | V
 | ×
 | M
 | ×
 | √
 | XGE
 | 大漩涡Maelstrom
 | 五环
 | 塑能
 | 德
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 法师护甲Mage Armor
 | 一环
 | 防护
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 法师之手Mage Hand
 | 戏法(零环)
 | 咒法
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 防护法阵Magic Circle
 | 三环
 | 防护
 | 牧 帕 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 魔魂壶Magic Jar
 | 六环
 | 死灵
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 魔法飞弹Magic Missile
 | 一环
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 魔嘴术Magic Mouth
 | 二环
 | 幻术
 | 诗 法
 | V
 | S
 | M*
 | √
 | ×
 | PHB24
 | 魔石术Magic Stone
 | 戏法(零环)
 | 变化
 | 德 械 锁
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 魔化武器Magic Weapon
 | 二环
 | 变化
 | 帕 软 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 高级幻影Major Image
 | 三环
 | 幻术
 | 诗 术 法 锁
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 群体疗伤术Mass Cure Wounds
 | 五环
 | 塑能
 | 诗 牧 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 群体医疗术Mass Heal
 | 九环
 | 防护
 | 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 群体治愈真言Mass Healing Word
 | 三环
 | 防护
 | 诗 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 群体变形术Mass Polymorph
 | 九环
 | 变化
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 群体暗示术Mass Suggestion
 | 六环
 | 惑控
 | 诗 术 法
 | V
 | ×
 | M
 | ×
 | ×
 | PHB24
 | 麦克斯米利安的地之攫Maximilian's Earthen
					Grasp
 | 二环
 | 变化
 | 术 法
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 迷宫术Maze
 | 八环
 | 咒法
 | 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 融身入石Meld Into Stone
 | 三环
 | 变化
 | 牧 德 软
 | V
 | S
 | ×
 | √
 | ×
 | PHB24
 | 马友夫强酸箭Melf's Acid Arrow
 | 二环
 | 塑能
 | 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 马友夫微流星Melf's Minute Meteors
 | 三环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | √
 | XGE
 | 修复术Mending
 | 戏法(零环)
 | 变化
 | 诗 牧 德 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 精神监狱Mental Prison
 | 六环
 | 幻术
 | 术 法 锁
 | ×
 | S
 | ×
 | ×
 | √
 | XGE
 | 传讯术Message
 | 戏法(零环)
 | 变化
 | 诗 德 术 法
 | ×
 | S
 | M
 | ×
 | ×
 | PHB24
 | 流星爆Meteor Swarm
 | 九环
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 坚固堡垒Mighty Fortress
 | 八环
 | 咒法
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | XGE
 | 心灵屏障Mind Blank
 | 八环
 | 防护
 | 诗 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 心灵之楔Mind Sliver
 | 戏法(零环)
 | 惑控
 | 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 心灵尖刺Mind Spike
 | 二环
 | 预言
 | 术 法 锁
 | ×
 | S
 | ×
 | ×
 | √
 | PHB24
 | 次级幻象Minor Illusion
 | 戏法(零环)
 | 幻术
 | 诗 术 法 锁
 | ×
 | S
 | M
 | ×
 | ×
 | PHB24
 | 海市蜃楼Mirage Arcane
 | 七环
 | 幻术
 | 诗 德 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 镜影术Mirror Image
 | 二环
 | 幻术
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 假象术Mislead
 | 五环
 | 幻术
 | 诗 法 锁
 | ×
 | S
 | ×
 | ×
 | √
 | PHB24
 | 迷踪步Misty Step
 | 二环
 | 咒法
 | 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 篡改记忆Modify Memory
 | 五环
 | 惑控
 | 诗 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 塑土术Mold Earth
 | 戏法(零环)
 | 变化
 | 德 术 法
 | ×
 | S
 | ×
 | ×
 | ×
 | XGE
 | 月华之光Moonbeam
 | 二环
 | 塑能
 | 德
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 魔邓肯忠犬Mordenkainen's Faithful
					Hound
 | 四环
 | 咒法
 | 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 魔邓肯豪宅术Mordenkainen's Magnificent
					Mansion
 | 七环
 | 咒法
 | 诗 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 魔邓肯私人密室Mordenkainen's Private
					Sanctum
 | 四环
 | 防护
 | 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 魔邓肯之剑Mordenkainen's Sword
 | 七环
 | 塑能
 | 诗 法
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 励志演讲Motivational Speech
 | 三环
 | 惑控
 | 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | AI
 | 地动术Move Earth
 | 六环
 | 变化
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 纳撒尔恶作剧Nathair's Mischief
 | 二环
 | 幻术
 | 诗 术 法
 | ×
 | S
 | M
 | ×
 | √
 | FTD
 | 负能量洪流Negative Energy Flood
 | 五环
 | 死灵
 | 法 锁
 | V
 | ×
 | M
 | ×
 | ×
 | XGE
 | 回避侦测Nondetection
 | 三环
 | 防护
 | 诗 软 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 涅斯图魔法灵光Nystul's Magic Aura
 | 二环
 | 幻术
 | 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 欧提路克冰封法球Otiluke's Freezing Sphere
 | 六环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 欧提路克弹力法球Otiluke's Resilient Sphere
 | 四环
 | 防护
 | 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 奥图迷舞Otto's Irresistible Dance
 | 六环
 | 惑控
 | 诗 法
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 行动无踪Pass without Trace
 | 二环
 | 防护
 | 德 软
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 穿墙术Passwall
 | 五环
 | 变化
 | 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 魅影之力Phantasmal Force
 | 二环
 | 幻术
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 魅影杀手Phantasmal Killer
 | 四环
 | 幻术
 | 诗 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 魅影驹Phantom Steed
 | 三环
 | 幻术
 | 法
 | V
 | S
 | ×
 | √
 | ×
 | PHB24
 | 异界誓盟Planar Ally
 | 六环
 | 咒法
 | 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 异界誓缚Planar Binding
 | 五环
 | 咒法
 | 诗 牧 德 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 位面转移Plane Shift
 | 七环
 | 咒法
 | 牧 德 术 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 植物滋长Plant Growth
 | 三环
 | 变化
 | 诗 德 软
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 毒气喷涌Poison Spray
 | 戏法(零环)
 | 死灵
 | 德 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 变形术Polymorph
 | 四环
 | 变化
 | 诗 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 律令巩固Power Word Fortify
 | 七环
 | 惑控
 | 诗 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 律令医疗Power Word Heal
 | 九环
 | 惑控
 | 诗 牧
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 律令死亡Power Word Kill
 | 九环
 | 惑控
 | 诗 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 律令痛苦Power Word Pain
 | 七环
 | 惑控
 | 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | XGE
 | 律令震慑Power Word Stun
 | 八环
 | 惑控
 | 诗 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 治疗祷言Prayer of Healing
 | 二环
 | 防护
 | 牧 帕
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 魔法伎俩Prestidigitation
 | 戏法(零环)
 | 变化
 | 诗 术 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 原初蛮击Primal Savagery
 | 戏法(零环)
 | 变化
 | 德
 | ×
 | S
 | ×
 | ×
 | ×
 | XGE
 | 原初守护Primordial Ward
 | 六环
 | 防护
 | 德
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 虹光喷射Prismatic Spray
 | 七环
 | 塑能
 | 诗 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 虹光法墙Prismatic Wall
 | 九环
 | 防护
 | 诗 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 燃火术Produce Flame
 | 戏法(零环)
 | 咒法
 | 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 预置幻象Programmed Illusion
 | 六环
 | 幻术
 | 诗 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 投影术Project Image
 | 七环
 | 幻术
 | 诗 法
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 防护能量Protection from Energy
 | 三环
 | 防护
 | 牧 德 软 术 法
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 防护善恶Protection from Evil and Good
 | 一环
 | 防护
 | 牧 德 帕 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 防护毒素Protection from Poison
 | 二环
 | 防护
 | 牧 德 帕 软
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 心灵尖啸Psychic Scream
 | 九环
 | 惑控
 | 诗 术 法 锁
 | ×
 | S
 | ×
 | ×
 | ×
 | XGE
 | 净化饮食Purify Food and Drink
 | 一环
 | 变化
 | 牧 德 帕
 | V
 | S
 | ×
 | √
 | ×
 | PHB24
 | 烟火术Pyrotechnics
 | 二环
 | 变化
 | 诗 术 法 械
 | V
 | S
 | ×
 | ×
 | ×
 | XGE
 | 死者复活Raise Dead
 | 五环
 | 死灵
 | 诗 牧 帕
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 拉瑞心灵联结Rary's Telepathic Bond
 | 五环
 | 预言
 | 诗 法
 | V
 | S
 | M
 | √
 | ×
 | PHB24
 | 劳洛希姆心灵长枪Raulothim's Psychic Lance
 | 四环
 | 惑控
 | 诗 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | FTD
 | 衰弱射线Ray of Enfeeblement
 | 二环
 | 死灵
 | 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 冷冻射线Ray of Frost
 | 戏法(零环)
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 致病射线Ray of Sickness
 | 一环
 | 死灵
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 再生术Regenerate
 | 七环
 | 变化
 | 诗 牧 德
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 转生术Reincarnate
 | 五环
 | 死灵
 | 德
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 移除诅咒Remove Curse
 | 三环
 | 防护
 | 牧 帕 法 锁
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 抵抗术Resistance
 | 戏法(零环)
 | 防护
 | 牧 德
 | V
 | S
 | ×
 | ×
 | √
 | PHB24
 | 复生术Resurrection
 | 七环
 | 死灵
 | 诗 牧
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 反转重力Reverse Gravity
 | 七环
 | 变化
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 回生术Revivify
 | 三环
 | 死灵
 | 牧 德 帕 软
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 雾凇霜缚Rime's Binding Ice
 | 二环
 | 塑能
 | 术 法
 | ×
 | S
 | M
 | ×
 | ×
 | FTD
 | 魔绳术Rope Trick
 | 二环
 | 变化
 | 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 圣火术Sacred Flame
 | 戏法(零环)
 | 塑能
 | 牧
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 庇护术Sanctuary
 | 一环
 | 防护
 | 牧
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 散射术Scatter
 | 六环
 | 咒法
 | 术 法 锁
 | V
 | ×
 | ×
 | ×
 | ×
 | XGE
 | 灼热射线Scorching Ray
 | 二环
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 探知术Scrying
 | 五环
 | 预言
 | 诗 牧 德 法 锁
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 炽焰斩Searing Smite
 | 一环
 | 塑能
 | 帕
 | V
 | ×
 | ×
 | ×
 | ×
 | PHB24
 | 识破隐形See Invisibility
 | 二环
 | 预言
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 伪装术Seeming
 | 五环
 | 幻术
 | 诗 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 短讯术Sending
 | 三环
 | 预言
 | 诗 牧 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 隔离术Sequester
 | 七环
 | 变化
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 幽影刃Shadow Blade
 | 二环
 | 幻术
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 莫伊之影Shadow of Moil
 | 四环
 | 死灵
 | 锁
 | V
 | S
 | M*
 | ×
 | √
 | XGE
 | 操水术Shape Water
 | 戏法(零环)
 | 变化
 | 德 术 法
 | ×
 | S
 | ×
 | ×
 | ×
 | XGE
 | 形体变化Shapechange
 | 九环
 | 变化
 | 德 法
 | V
 | S
 | M*
 | ×
 | √
 | PHB24
 | 粉碎音波Shatter
 | 二环
 | 塑能
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 护盾术Shield
 | 一环
 | 防护
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 虔诚护盾Shield of Faith
 | 一环
 | 防护
 | 牧 帕
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 橡棍术Shillelagh
 | 戏法(零环)
 | 变化
 | 德
 | V
 | S
 | M
 | ×
 | ×
 | PHB24
 | 闪耀斩Shining Smite
 | 二环
 | 变化
 | 帕
 | V
 | ×
 | ×
 | ×
 | √
 | PHB24
 | 电爪Shocking Grasp
 | 戏法(零环)
 | 塑能
 | 术 法
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 致病辐射Sickening Radiance
 | 四环
 | 塑能
 | 术 法 锁
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 沉默术Silence
 | 二环
 | 幻术
 | 诗 牧 软
 | V
 | S
 | ×
 | √
 | √
 | PHB24
 | 无声幻影Silent Image
 | 一环
 | 幻术
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 银光锐语Silvery Barbs
 | 一环
 | 惑控
 | 诗 术 法
 | V
 | ×
 | ×
 | ×
 | ×
 | SCC
 | 拟像术Simulacrum
 | 七环
 | 幻术
 | 法
 | V
 | S
 | M*
 | ×
 | ×
 | PHB24
 | 授予技能Skill Empowerment
 | 五环
 | 变化
 | 诗 术 法 械
 | V
 | S
 | ×
 | ×
 | √
 | XGE
 | 写入空中Skywrite
 | 二环
 | 变化
 | 诗 德 法 械
 | V
 | S
 | ×
 | √
 | √
 | XGE
 | 睡眠术Sleep
 | 一环
 | 惑控
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 雪雨暴Sleet Storm
 | 三环
 | 咒法
 | 德 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 缓慢术Slow
 | 三环
 | 变化
 | 诗 术 法
 | V
 | S
 | M
 | ×
 | √
 | PHB24
 | 圈套术Snare
 | 一环
 | 防护
 | 德 软 法 械
 | ×
 | S
 | M*
 | ×
 | ×
 | XGE
 | 史尼洛雪球群Snilloc's Snowball Swarm
 | 二环
 | 塑能
 | 术 法
 | V
 | S
 | M
 | ×
 | ×
 | XGE
 | 术法爆发Sorcerous Burst
 | 戏法(零环)
 | 塑能
 | 术
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 灵魂牢笼Soul Cage
 | 六环
 | 死灵
 | 法 锁
 | V
 | S
 | M*
 | ×
 | ×
 | XGE
 | 维生术Spare the Dying
 | 戏法(零环)
 | 死灵
 | 牧 德
 | V
 | S
 | ×
 | ×
 | ×
 | PHB24
 | 动物交谈Speak with Animals
 | 一环
 | 预言
 | 诗 德 软 锁
 | V
 | S
 | ×
 | √
 | ×
 | PHB24
 | 死者交谈Speak with Dead
 | 三环
 | 死灵
